title,plot
Home Alone (1990),"b""Home Alone. It is Christmas time and the McCallister family is preparing for a vacation in Paris, France. But the youngest in the family named Kevin got into a scuffle with his older brother Buzz and was sent to his room which is on the third floor of his house. Then, the next morning, while the rest of the family was in a rush to make it to the airport on time, they completely forgot about Kevin who now has the house all to himself. Being home alone was fun for Kevin, having a pizza all to himself, jumping on his parents' bed, and making a mess. Then, Kevin discovers about two burglars, Harry and Marv, about to rob his house on Christmas Eve. Kevin acts quickly by wiring his own house with makeshift booby traps to stop the burglars and to bring them to justice."""
Aladdin (1992),"b""Aladdin. Aladdin is a poor street urchin who spends his time stealing food from the marketplace in the city of Agrabah. His adventures begin when he meets a young girl who happens to be Princess Jasmine, who is forced to be married by her wacky yet estranged father. Aladdin's luck suddenly changes when he retrieves a magical lamp from the Cave of Wonders. What he unwittingly gets is a fun-loving genie who only wishes to have his freedom. Little do they know is that the Sultan's sinister advisor Jafar has his own plans for both Aladdin and the lamp."""
Terminator 2: Judgment Day (1991),"b""Terminator 2: Judgment Day. This documentary treats movie fans to a behind-the-scenes look at the making of Terminator 2: Judgement Day, the blockbuster science-fiction film about the further attempts of the SkyNet computer system to assassinate John Conner before he can become a danger, as well as the resistance's efforts to protect him. Included are interviews with Arnold Schwazenegger, Linda Hamilton and the rest of the cast and crew who share their experiences from making the film, as well as disscuss the efforts that went into it."""
Dances with Wolves (1990),"b'Dances with Wolves. Lt. John Dunbar is dubbed a hero after he accidentally leads Union troops to a victory during the Civil War. He requests a position on the western frontier, but finds it deserted. He soon finds out he is not alone, but meets a wolf he dubs ""Two-socks"" and a curious Indian tribe. Dunbar quickly makes friends with the tribe, and discovers a white woman who was raised by the Indians. He gradually earns the respect of these native people, and sheds his white-man\'s ways.'"
"Silence of the Lambs, The (1991)","b'Silence of the Lambs, The. '"
Snow White and the Seven Dwarfs (1937),"b""Snow White and the Seven Dwarfs. The beautiful and kindhearted princess Snow White charms every creature in the kingdom except one - her jealous stepmother, the Queen. When the Magic Mirror proclaims Snow White the fairest one of all, she must flee into the forest, where she befriends the lovable seven dwarfs - Doc, Sneezy, Grumpy, Happy, Bashful, Sleepy and Dopey. But when the Queen tricks Snow White with an enchanted apple, only the magic of true love's kiss can save her!"""
Fargo (1996),"b""Fargo. Jerry works in his father-in-law's car dealership and has gotten himself in financial problems. He tries various schemes to come up with money needed for a reason that is never really explained. It has to be assumed that his huge embezzlement of money from the dealership is about to be discovered by father-in-law. When all else falls through, plans he set in motion earlier for two men to kidnap his wife for ransom to be paid by her wealthy father (who doesn't seem to have the time of day for son-in-law). From the moment of the kidnapping, things go wrong and what was supposed to be a non-violent affair turns bloody with more blood added by the minute. Jerry is upset at the bloodshed, which turns loose a pregnant sheriff from Brainerd, MN who is tenacious in attempting to solve the three murders in her jurisdiction."""
Heavy Metal (1981),"b'Heavy Metal. An astronaut brings home a glowing green orb for his daughter. However, the green orb wipes him out and corners the girl for its purposes. Claiming to embody ultimate evil, the malevolent sphere, known as the Loc-Nar, terrorizes the little girl by showing a series of bizarre and fantastic stories it has influenced. The first is ""Harry Canyon"", a cynical taxi driver in a squalid futuristic New York who finds himself involved with a damsel in distress who is relentlessly pursued by murderous thugs who desire the Loc-Nar her archaeologist father found. The second is ""Den"", which chronicles the adventures of a nerdish teenager who is thrown into the fantasy world of Neverwhere, where he is transformed into a studly naked muscle man, desired by beautiful women, who must get involved in a conflict revolving around possession of the Loc-Nar. The third is ""Captain Sternn"", where the title character is a handsome but irredeemable scoundrel who stands accused in a trial that Loc-Nar throws into chaos. The fourth is ""B-17"", where a World War II bomber plane limps home after a bombing run, only to have the Loc-Nar ram into it and revive the dead crew members as murderous zombies. The next is ""So Beautiful, So Dangerous"", where a buxom secretary at the Pentagon is abducted by stoned alien wastrels and an oversexed robot. The final story is ""Taarna"", where the Loc-Nar has to come to a future Earth and changes a peaceful people into a horde of murderous barbarians who rampage with genocidal zeal. Only the last Tarrakian, a silent swords-woman known as Taarna, can avenge the victims and stop the Loc-Nar.'"
"Aristocats, The (1970)","b'Aristocats, The. '"
Sgt. Bilko (1996),"b""Sgt. Bilko. Sgt. Bilko is in charge of the Motor Pool at an Army base. He's also a good-natured con man, providing gambling facilities for the soldiers on base. When an old enemy from his past shows up to inspect his records and steal away his fiance, Sgt. Bilko has to put his skills to creative use..."""
Diabolique (1996),"b""Diabolique. The wife and mistress of a sadistic boarding school headmaster plot to kill him. They drown him in the bathtub and dump the body in the school's filthy swimming pool... but when the pool is drained, the body has disappeared - and subsequent reported sightings of the headmaster slowly drive his 'killers' (and the audience) up the wall with almost unbearable suspense..."""
Kids in the Hall: Brain Candy (1996),"b""Kids in the Hall: Brain Candy. A team of scientists working for a pharmaceutical company discovers a cure for depression. When the company finds itself in trouble financially, they rush the new drug into production without doing enough testing. Things seem to go fine until some of the users of the drug start slipping into comas. It becomes a race between the scientists who want to tell the world the truth and the company's marketing department who wants to protect their profit margin."""
